name,book,year,frequency
A Mozarts,AMZ1848,1848,2
M Henry,AMZ1848,1848,2
Balletmeister Henry,AMZ1848,1848,2
n Henry,AMZ1848,1848,2
 El,AMZ1848,1848,2
J G Portmann,AMZ1848,1848,4
Friedrich Heinrich Himmel,AMZ1848,1848,48
J H Himmel,AMZ1848,1848,5
Kapellmeister Himmel,AMZ1848,1848,8
Mein Himmel,AMZ1848,1848,2
 Himmel,AMZ1848,1848,3
Naumann Himmel,AMZ1848,1848,2
Friedrich Wilhelms,AMZ1848,1848,3
 Wilhelms,AMZ1848,1848,2
A H Pustkuchen,AMZ1848,1848,3
Emanuel Schikaneder,AMZ1848,1848,4
Carl Schikaneder,AMZ1848,1848,6
Peter Winter,AMZ1848,1848,64
Mr Winter,AMZ1848,1848,3
Kapellmeister Winter,AMZ1848,1848,2
von Winter,AMZ1848,1848,18
Peter von Winter,AMZ1848,1848,19
Peter de Winter,AMZ1848,1848,8
n Winter,AMZ1848,1848,2
Berardo Winter,AMZ1848,1848,2
Quattro Notturni,AMZ1848,1848,2
Gottlob Bachmann,AMZ1848,1848,27
Carl Bachmann,AMZ1848,1848,27
S Bachmann,AMZ1848,1848,2
Jean Bachmann,AMZ1848,1848,2
 Bachmann,AMZ1848,1848,2
Eduard Bachmann,AMZ1848,1848,2
n Bachmann,AMZ1848,1848,2
A Beczwarzowsky,AMZ1848,1848,6
Franz Bihler,AMZ1848,1848,3
n Bianchi,AMZ1848,1848,3
Francesco Bianchi,AMZ1848,1848,5
Anton Bianchi,AMZ1848,1848,2
G Bianchi,AMZ1848,1848,2
me Bianchi,AMZ1848,1848,3
Signora Bianchi,AMZ1848,1848,8
Siguora Bianchi,AMZ1848,1848,3
Adamo Bianchi,AMZ1848,1848,2
Charles F Ebers,AMZ1848,1848,51
C Ebers,AMZ1848,1848,4
Agnes Geyer,AMZ1848,1848,2
E G Geyer,AMZ1848,1848,2
Flodoard Geyer,AMZ1848,1848,7
 Geyer,AMZ1848,1848,2
Adalbert Gyrowetz,AMZ1848,1848,41
Kapellmeister Gyrowetz,AMZ1848,1848,14
v Gyrowetz,AMZ1848,1848,2
Bened Hacker,AMZ1848,1848,4
Tante Emma,AMZ1848,1848,2
Carl Witte,AMZ1848,1848,3
C L Hellwig,AMZ1848,1848,8
Ludw Hellwig,AMZ1848,1848,21
 Hellwig,AMZ1848,1848,8
Ludwig Hellwig,AMZ1848,1848,5
C F L Hellwig,AMZ1848,1848,2
C Hellwig,AMZ1848,1848,4
Amalie v Hellwig,AMZ1848,1848,2
Kapellmeister Him mel,AMZ1848,1848,2
Him mel,AMZ1848,1848,5
Hum mel,AMZ1848,1848,3
J N mel,AMZ1848,1848,2
n Hurka,AMZ1848,1848,2
Franz Hurka,AMZ1848,1848,2
Friedrich Franz Hurka,AMZ1848,1848,11
F H Lütgert,AMZ1848,1848,2
Carl Wilhelm Maizier,AMZ1848,1848,2
G Millico,AMZ1848,1848,3
Wolfgang Gotulieb Mozart,AMZ1848,1848,3
Wolfgang Amadeus Mozart,AMZ1848,1848,364
Mr Mozart,AMZ1848,1848,2
Karl Mozart,AMZ1848,1848,4
Wittwe Mozart,AMZ1848,1848,15
Bey Mozart,AMZ1848,1848,2
Landsmann Mozart,AMZ1848,1848,2
de Mozart,AMZ1848,1848,2
A Mozart,AMZ1848,1848,8
A W Mozart,AMZ1848,1848,4
n Mozart,AMZ1848,1848,2
v Mozart,AMZ1848,1848,3
 Mozart,AMZ1848,1848,3
de W A Mozart,AMZ1848,1848,4
Haydr Mozart,AMZ1848,1848,2
v W A Mozart,AMZ1848,1848,2
Wolfgang Mozart,AMZ1848,1848,2
Leopold Mozart,AMZ1848,1848,2
V A Mozart,AMZ1848,1848,2
G A Naumann,AMZ1848,1848,2
Reichardt Naumann,AMZ1848,1848,3
J A Naumann,AMZ1848,1848,2
Johann Gottlieb Naumann,AMZ1848,1848,4
Reichard Naumann,AMZ1848,1848,2
Emil Naumann,AMZ1848,1848,2
Familie Elisa,AMZ1848,1848,2
Christian Gottlob Neefe,AMZ1848,1848,5
Jacobi und Herder,AMZ1848,1848,2
v Herder,AMZ1848,1848,2
Natalie von Herder,AMZ1848,1848,2
Jarnowick Steibelt,AMZ1848,1848,2
Daniel Steibelt,AMZ1848,1848,108
Abbe Sterkel,AMZ1848,1848,2
Anton Teyber,AMZ1848,1848,4
Franz Teyber,AMZ1848,1848,3
Joseph Weigl,AMZ1848,1848,47
Kapellmeister Weigl,AMZ1848,1848,5
 Weigl,AMZ1848,1848,29
Thade Weigl,AMZ1848,1848,2
Jos Weigl,AMZ1848,1848,2
Mayer Weigl,AMZ1848,1848,3
Schweizerfamilie von Weigl,AMZ1848,1848,3
Die Ouverture,AMZ1848,1848,6
Lenore Zumsteeg,AMZ1848,1848,2
J R Zumsteeg,AMZ1848,1848,10
Concertmeister Zumsteeg,AMZ1848,1848,3
I R Zumsteeg,AMZ1848,1848,2
Elwine Zumsteeg,AMZ1848,1848,3
Emilie Zumsteeg,AMZ1848,1848,5
G A Zumsteeg,AMZ1848,1848,7
G A Bürger,AMZ1848,1848,2
Elisa Bürger,AMZ1848,1848,2
L Bocherini,AMZ1848,1848,5
F Gleisner,AMZ1848,1848,2
J Kraus,AMZ1848,1848,2
 Kraus,AMZ1848,1848,3
Anna Kraus,AMZ1848,1848,2
me Kraus,AMZ1848,1848,3
Jos Pleyel,AMZ1848,1848,50
Ignaz Pleyel,AMZ1848,1848,6
F Pleyel,AMZ1848,1848,4
Mr Pleyel,AMZ1848,1848,2
de Pleyel,AMZ1848,1848,2
Rosetti Pleyel,AMZ1848,1848,2
Dussek und Cramer Pleyel,AMZ1848,1848,2
Ignace Pleyel,AMZ1848,1848,2
Camilla Pleyel,AMZ1848,1848,5
me Pleyel,AMZ1848,1848,3
A Fodor,AMZ1848,1848,22
J Fodor,AMZ1848,1848,7
me Fodor,AMZ1848,1848,10
J Pleyl,AMZ1848,1848,2
Johann Baptist Viotti,AMZ1848,1848,20
Jamowick Viotti,AMZ1848,1848,14
n Viotti,AMZ1848,1848,8
C W Westerhoff,AMZ1848,1848,3
C Hennig,AMZ1848,1848,6
L Abeille,AMZ1848,1848,5
L van Boothoven,AMZ1848,1848,3
Frederic Blasius,AMZ1848,1848,13
B Campagnoli,AMZ1848,1848,3
s Campagnoli,AMZ1848,1848,2
E Eppinger,AMZ1848,1848,2
E A Foerster,AMZ1848,1848,3
Joseph Haydn,AMZ1848,1848,555
Mr Joseph Haydn,AMZ1848,1848,2
de Haydn,AMZ1848,1848,2
 Haydn,AMZ1848,1848,120
Michael Haydn,AMZ1848,1848,51
van Haydn,AMZ1848,1848,15
Quatuors de J Haydn,AMZ1848,1848,2
Michel Haydn,AMZ1848,1848,6
n Haydn,AMZ1848,1848,3
I Haydn,AMZ1848,1848,3
Vater Haydn,AMZ1848,1848,10
Als Haydn,AMZ1848,1848,2
Vaters Haydn,AMZ1848,1848,2
Fr Haydn,AMZ1848,1848,2
Altvater Haydn,AMZ1848,1848,2
Franz Anton Hoffmeister,AMZ1848,1848,21
Anton Hoffmeister,AMZ1848,1848,2
I A Hoffmeister,AMZ1848,1848,2
Franz Hoffmeister,AMZ1848,1848,2
A Lacroix,AMZ1848,1848,7
A E müller,AMZ1848,1848,3
Frey müller,AMZ1848,1848,2
Antoine Reicha,AMZ1848,1848,31
Fetis Reicha,AMZ1848,1848,2
J Reicha,AMZ1848,1848,10
 Reicha,AMZ1848,1848,7
Anton Reicha,AMZ1848,1848,6
A Vanderhagen,AMZ1848,1848,8
J B viotti,AMZ1848,1848,2
Georg Albrechtsberger,AMZ1848,1848,12
A G Albrechtsberger,AMZ1848,1848,2
Johann Georg Albrechtsberger,AMZ1848,1848,4
Mariano Stecher,AMZ1848,1848,5
Carl Gottlieb Umbreit,AMZ1848,1848,7
Karl Gottlieb Umbreit,AMZ1848,1848,2
Franz Benda,AMZ1848,1848,19
Georg Benda,AMZ1848,1848,29
Karl Benda,AMZ1848,1848,2
F L Benda,AMZ1848,1848,4
n C M Benda,AMZ1848,1848,2
n Benda,AMZ1848,1848,2
Louis van Beethoven,AMZ1848,1848,400
van Beethoven,AMZ1848,1848,135
Schmelzles Beethoven,AMZ1848,1848,2
Vor Beethoven,AMZ1848,1848,6
L Beethoven,AMZ1848,1848,58
Ludwig van Beethoven,AMZ1848,1848,52
L de Beethoven,AMZ1848,1848,10
s Beethoven,AMZ1848,1848,2
L Van Beethoven,AMZ1848,1848,14
de Beethoven,AMZ1848,1848,9
Armer Beethoven,AMZ1848,1848,4
Egmont von Beethoven,AMZ1848,1848,7
Die Beethoven,AMZ1848,1848,3
Leonore von Beethoven,AMZ1848,1848,17
Johann v Beethoven,AMZ1848,1848,2
unserm Beethoven,AMZ1848,1848,2
de L van Beethoven,AMZ1848,1848,2
L o Beethoven,AMZ1848,1848,4
 Beethoven,AMZ1848,1848,2
von L,AMZ1848,1848,4
ER L,AMZ1848,1848,4
 Bauer,AMZ1848,1848,6
Eduard Bauer,AMZ1848,1848,2
Th Bauer,AMZ1848,1848,2
Charles Cannabich,AMZ1848,1848,9
me Cannabich,AMZ1848,1848,3
Direktor Cannabich,AMZ1848,1848,3
Carl Cannabich,AMZ1848,1848,4
Karl Cannabich,AMZ1848,1848,3
Muzio Clementi,AMZ1848,1848,37
Muszio Clementi,AMZ1848,1848,2
J Haydan,AMZ1848,1848,2
M L Herold,AMZ1848,1848,3
 Herold,AMZ1848,1848,2
Marie Herold,AMZ1848,1848,2
F Herold,AMZ1848,1848,25
Musigue de F Herold,AMZ1848,1848,2
Ch Khym,AMZ1848,1848,3
Kapellmeister Paer,AMZ1848,1848,3
Ferdinando Paer,AMZ1848,1848,21
 Paer,AMZ1848,1848,11
v Paer,AMZ1848,1848,7
Ferdinand Paer,AMZ1848,1848,3
Carl Paer,AMZ1848,1848,3
Ambroise Rieder,AMZ1848,1848,6
 Rieder,AMZ1848,1848,3
Jos Schmidt,AMZ1848,1848,17
Wilhelm Carl August Schmidt,AMZ1848,1848,2
Prediger Schmidt,AMZ1848,1848,10
C F Schmidt,AMZ1848,1848,3
n Schmidt,AMZ1848,1848,32
Herklots Schmidt,AMZ1848,1848,16
Assessor Schmidt,AMZ1848,1848,12
J P Schmidt,AMZ1848,1848,204
Ludwig Schmidt,AMZ1848,1848,2
Assessor J P Schmidt,AMZ1848,1848,3
 Schmidt,AMZ1848,1848,47
Emilie Schmidt,AMZ1848,1848,2
Concertmeister Schmidt,AMZ1848,1848,4
Joseph Schmidt,AMZ1848,1848,2
Maschinisten Schmidt,AMZ1848,1848,8
Julius Schmidt,AMZ1848,1848,2
Franz Schmidt,AMZ1848,1848,6
Aloys Schmidt,AMZ1848,1848,3
Hofrath J P Schmidt,AMZ1848,1848,3
Georg Schmidt,AMZ1848,1848,22
Carl Schmidt,AMZ1848,1848,3
Ernst Leopold Schmidt,AMZ1848,1848,3
Johanna Schmidt,AMZ1848,1848,15
n Musikdirektor Schmidt,AMZ1848,1848,3
me Schmidt,AMZ1848,1848,4
Musikdirector Georg Schmidt,AMZ1848,1848,2
Johanne Schmidt,AMZ1848,1848,4
Hermann Schmidt,AMZ1848,1848,10
mann Schmidt,AMZ1848,1848,5
Dr Schmidt,AMZ1848,1848,13
Musikdirektor Georg Schmidt,AMZ1848,1848,2
J B Schmidt,AMZ1848,1848,2
Musikdirektor Schmidt,AMZ1848,1848,2
MD Schmidt,AMZ1848,1848,3
Gustav Martin Schmidt,AMZ1848,1848,12
n H Schmidt,AMZ1848,1848,4
Gustav Schmidt,AMZ1848,1848,5
Dr August Schmidt,AMZ1848,1848,2
M H Schmidt,AMZ1848,1848,3
Kammermusikus Schmidt,AMZ1848,1848,2
n Dr Schmidt,AMZ1848,1848,2
Conzertmeister Schmidt,AMZ1848,1848,2
Gottfried Rieger,AMZ1848,1848,6
Joseph Rösler,AMZ1848,1848,5
Jean Vanhall,AMZ1848,1848,12
P Vignetti,AMZ1848,1848,2
 Klein,AMZ1848,1848,67
Heinrich Klein,AMZ1848,1848,4
Johann Joseph Klein,AMZ1848,1848,3
I B Klein,AMZ1848,1848,2
Professor Klein,AMZ1848,1848,3
Bernhard Klein,AMZ1848,1848,114
Bernh Klein,AMZ1848,1848,2
Bernard Klein,AMZ1848,1848,3
F W Klein,AMZ1848,1848,3
F Klein,AMZ1848,1848,2
Joseph Klein,AMZ1848,1848,25
v Klein,AMZ1848,1848,2
Joseph Hillmer,AMZ1848,1848,3
N Ueber,AMZ1848,1848,10
G Ueber,AMZ1848,1848,4
ER Ueber,AMZ1848,1848,2
N G Ueber,AMZ1848,1848,2
R Ueber,AMZ1848,1848,3
 Ueber,AMZ1848,1848,2
F L B Ueber,AMZ1848,1848,2
DI Ueber,AMZ1848,1848,2
der Herrn,AMZ1848,1848,3
der uns Herrn,AMZ1848,1848,4
me Lear,AMZ1848,1848,3
von Dittersdorf,AMZ1848,1848,9
Carl von Dittersdorf,AMZ1848,1848,2
Karl von Dittersdorf,AMZ1848,1848,2
NACHRICHTE N Prag,AMZ1848,1848,2
von Prag,AMZ1848,1848,2
Albert Prag,AMZ1848,1848,2
S Prag,AMZ1848,1848,2
NACHERICHTFTE N Prag,AMZ1848,1848,2
August Prag,AMZ1848,1848,2
Hoffmann Prag,AMZ1848,1848,3
 Beylagen,AMZ1848,1848,2
Joseph Rössler,AMZ1848,1848,4
Emilie Rössler,AMZ1848,1848,2
Domenico della Maria,AMZ1848,1848,4
Della Maria,AMZ1848,1848,24
der Maria,AMZ1848,1848,2
della Maria,AMZ1848,1848,6
Saneta Maria,AMZ1848,1848,9
Carl Maria,AMZ1848,1848,48
 Maria,AMZ1848,1848,5
Joan Maria,AMZ1848,1848,3
Karl Maria,AMZ1848,1848,7
Grossfürstin Maria,AMZ1848,1848,2
Ave Maria,AMZ1848,1848,4
Kapellmeister Reichardt,AMZ1848,1848,10
J F Reichardt,AMZ1848,1848,28
n Kapellmeister Reichardt,AMZ1848,1848,2
Friedrich Reichardt,AMZ1848,1848,10
Louise Reichardt,AMZ1848,1848,14
Georg Reichardt,AMZ1848,1848,30
Kapellmeisters Reichardt,AMZ1848,1848,2
C Reichardt,AMZ1848,1848,6
Ch A Reichardt,AMZ1848,1848,3
D Jäger,AMZ1848,1848,3
C Jäger,AMZ1848,1848,9
J Jäger,AMZ1848,1848,3
n Jäger,AMZ1848,1848,8
Rauscher Jäger,AMZ1848,1848,2
Rosenfeld Jäger,AMZ1848,1848,4
Franz Jäger,AMZ1848,1848,2
me Jäger,AMZ1848,1848,2
Ehrenfried Jäger,AMZ1848,1848,2
Abt Vogler,AMZ1848,1848,134
Abts Vogler,AMZ1848,1848,11
n Abt Vogler,AMZ1848,1848,2
Abbe Vogler,AMZ1848,1848,9
F Vogler,AMZ1848,1848,2
Andreas Romberg,AMZ1848,1848,204
Heinrich Romberg,AMZ1848,1848,11
Bernhard Romberg,AMZ1848,1848,244
 Romberg,AMZ1848,1848,107
Andr Romberg,AMZ1848,1848,10
Bernard Romberg,AMZ1848,1848,16
Anton Romberg,AMZ1848,1848,14
Dr Romberg,AMZ1848,1848,2
Beethoven Romberg,AMZ1848,1848,2
Andre Romberg,AMZ1848,1848,2
Andrea Romberg,AMZ1848,1848,2
Rernh Romberg,AMZ1848,1848,2
Onslow Romberg,AMZ1848,1848,2
Kapellmeister Bernhard Romberg,AMZ1848,1848,5
Kapellmeister A Romberg,AMZ1848,1848,2
Carl Romberg,AMZ1848,1848,9
Bernhardine Romberg,AMZ1848,1848,2
Weber Romberg,AMZ1848,1848,2
Cipriano Romberg,AMZ1848,1848,5
n Kunz,AMZ1848,1848,18
F A Kunz,AMZ1848,1848,2
Thomas Anton Kunz,AMZ1848,1848,2
Max Kunz,AMZ1848,1848,2
Konrad Max Kunz,AMZ1848,1848,8
Konrad Maz Kunz,AMZ1848,1848,2
Eduard Kunz,AMZ1848,1848,2
v Frankreich,AMZ1848,1848,2
 n,AMZ1848,1848,12
Fr n,AMZ1848,1848,2
Carl Otto Claudius,AMZ1848,1848,2
Otto Claudius,AMZ1848,1848,22
J G Salis,AMZ1848,1848,2
Lukas Hanne,AMZ1848,1848,9
Die Hanne,AMZ1848,1848,2
Minona Blumauer,AMZ1848,1848,3
Jean Jacques Rousseau,AMZ1848,1848,13
 Rousseau,AMZ1848,1848,4
Jakob Rousseau,AMZ1848,1848,6
Friederike Rousseau,AMZ1848,1848,2
J B Rousseau,AMZ1848,1848,2
Josephine Hensler,AMZ1848,1848,3
 Hensler,AMZ1848,1848,2
Director Hensler,AMZ1848,1848,2
Carl Friedrich Hensler,AMZ1848,1848,2
 Kozeluch,AMZ1848,1848,2
Leopold Kozeluch,AMZ1848,1848,11
Cibbini Kozeluch,AMZ1848,1848,2
 Methfessel,AMZ1848,1848,5
Friedrich Methfessel,AMZ1848,1848,8
Albert Methfessel,AMZ1848,1848,28
C Methfessel,AMZ1848,1848,2
Ernst Methfessel,AMZ1848,1848,11
Caroline Bassi,AMZ1848,1848,2
Nicola Bassi,AMZ1848,1848,3
Achille Bassi,AMZ1848,1848,2
Friedrich Wilhelm,AMZ1848,1848,24
Johann Wilhelm,AMZ1848,1848,3
Carl Wilhelm,AMZ1848,1848,2
n Verfasser,AMZ1848,1848,6
Michael Gotthardt Fischer,AMZ1848,1848,38
Studiosen Fischer,AMZ1848,1848,2
n Fischer,AMZ1848,1848,17
Anton Fischer,AMZ1848,1848,7
Harrington Fischer,AMZ1848,1848,7
iselle Fischer,AMZ1848,1848,2
A G Fischer,AMZ1848,1848,3
Ludwig Fischer,AMZ1848,1848,12
M C Fischer,AMZ1848,1848,2
 Fischer,AMZ1848,1848,23
M Fischer,AMZ1848,1848,4
A J Fischer,AMZ1848,1848,2
Concertmeistor Fischer,AMZ1848,1848,7
Concertmeister Fischer,AMZ1848,1848,2
Der Fischer,AMZ1848,1848,6
Therese Fischer,AMZ1848,1848,5
von Fischer,AMZ1848,1848,5
Joseph Fischer,AMZ1848,1848,7
Gottfried Emil Fischer,AMZ1848,1848,6
F F Fischer,AMZ1848,1848,2
Wilhelmine Fischer,AMZ1848,1848,4
Dr Fischer,AMZ1848,1848,8
Anna Fischer,AMZ1848,1848,3
und Fischer,AMZ1848,1848,3
August Fischer,AMZ1848,1848,7
Friedrich Fischer,AMZ1848,1848,7
me Fischer,AMZ1848,1848,4
G Fischer,AMZ1848,1848,4
Emil Fischer,AMZ1848,1848,4
Jakob Fischer,AMZ1848,1848,2
Dr E Fischer,AMZ1848,1848,2
C L Fischer,AMZ1848,1848,4
Karl Ludwig Fischer,AMZ1848,1848,2
Johann Friedrich Berwald,AMZ1848,1848,5
 Berwald,AMZ1848,1848,3
Franz Berwald,AMZ1848,1848,4
n Berwald,AMZ1848,1848,3
Zinkernagel und Rosetti,AMZ1848,1848,2
 Rosetti,AMZ1848,1848,4
me Righini,AMZ1848,1848,4
Vinzent Righini,AMZ1848,1848,13
Weber Righini,AMZ1848,1848,2
Kapellmeister Righini,AMZ1848,1848,2
v Righini,AMZ1848,1848,2
Karl Marin von Weber,AMZ1848,1848,71
von Weber,AMZ1848,1848,68
Denys Weber,AMZ1848,1848,5
 Weber,AMZ1848,1848,37
Musikdirektto Weber,AMZ1848,1848,2
Carl Maria von Weber,AMZ1848,1848,459
D Friedrioh August Weber,AMZ1848,1848,4
n Weber,AMZ1848,1848,5
Gottfried Weber,AMZ1848,1848,78
Karl Maria von Weber,AMZ1848,1848,10
Marie de Weber,AMZ1848,1848,9
J J F Weber,AMZ1848,1848,2
Charles Marie de Weber,AMZ1848,1848,39
Bernhard Anselm Weber,AMZ1848,1848,53
Carl Maria Weber,AMZ1848,1848,28
Kapellmeister Weber,AMZ1848,1848,10
unserm Weber,AMZ1848,1848,2
Kapellmeiste Weber,AMZ1848,1848,2
Anselm Weber,AMZ1848,1848,14
Capellmeisterss Weber,AMZ1848,1848,8
Carl Marie von Weber,AMZ1848,1848,7
Otto Weber,AMZ1848,1848,7
Friedrich Dionys Weber,AMZ1848,1848,12
Flemming Weber,AMZ1848,1848,5
Kapellmeisters Weber,AMZ1848,1848,3
Maria von Weber,AMZ1848,1848,80
de Weber,AMZ1848,1848,5
Carl Maria de Weber,AMZ1848,1848,2
Gottfr Weber,AMZ1848,1848,3
Kapellmeister von Weber,AMZ1848,1848,9
Director Weber,AMZ1848,1848,8
van Weber,AMZ1848,1848,2
yon Weber,AMZ1848,1848,2
Kapellmeister F D Weber,AMZ1848,1848,3
E M von Weber,AMZ1848,1848,2
Euryanthe von Weber,AMZ1848,1848,6
C M V Weber,AMZ1848,1848,4
Franz Weber,AMZ1848,1848,14
Ernst Heinrich Weber,AMZ1848,1848,2
Wilhelm Weber,AMZ1848,1848,3
Cottfried Weber,AMZ1848,1848,2
Dr Gottfried Weber,AMZ1848,1848,2
Direetor Weber,AMZ1848,1848,2
k M v Weber,AMZ1848,1848,31
Direktor Weber,AMZ1848,1848,7
Direktor F D Weber,AMZ1848,1848,2
R M von Weber,AMZ1848,1848,6
J J Weber,AMZ1848,1848,4
Edouard Weber,AMZ1848,1848,2
K M o Weber,AMZ1848,1848,5
Freischütz von Weber,AMZ1848,1848,2
K M Weber,AMZ1848,1848,4
C Maria o Weber,AMZ1848,1848,7
iselle Schäfer,AMZ1848,1848,2
Edmund Schäfer,AMZ1848,1848,2
Georg v Meiners,AMZ1848,1848,3
Leonardo Leo,AMZ1848,1848,26
Durante Leo,AMZ1848,1848,5
Hans Leo,AMZ1848,1848,2
Der Italiener,AMZ1848,1848,4
geborner Italiener,AMZ1848,1848,2
geborener Italiener,AMZ1848,1848,2
v Gretry,AMZ1848,1848,2
Antonio Salieri,AMZ1848,1848,9
v Salieri,AMZ1848,1848,2
Kapellmeister Salieri,AMZ1848,1848,3
Hofkapellmeisters Salieri,AMZ1848,1848,3
Anton Salieri,AMZ1848,1848,4
Unser würdiger Salieri,AMZ1848,1848,2
 Salieri,AMZ1848,1848,2
Hofkapellmeister Salieri,AMZ1848,1848,3
Institut Frankreichs,AMZ1848,1848,3
Herschel geschahe,AMZ1848,1848,2
n Schnell,AMZ1848,1848,2
Dr Fritz Schnell,AMZ1848,1848,2
n Andre,AMZ1848,1848,3
Anton Andre,AMZ1848,1848,40
Johann Andre,AMZ1848,1848,70
 Andre,AMZ1848,1848,41
Jean Andre,AMZ1848,1848,11
F Andre,AMZ1848,1848,2
J A Andre,AMZ1848,1848,2
v Andre,AMZ1848,1848,2
Hofrath Andre,AMZ1848,1848,8
Carl Andre,AMZ1848,1848,2
Jules Andre,AMZ1848,1848,2
Julius Andre,AMZ1848,1848,2
J R Andre,AMZ1848,1848,2
n Schröder,AMZ1848,1848,6
Wilhelmine Schröder,AMZ1848,1848,3
 Schröder,AMZ1848,1848,3
Adolph Schröder,AMZ1848,1848,3
Sophia Schröder,AMZ1848,1848,3
Betty Schröder,AMZ1848,1848,5
Sophie Schröder,AMZ1848,1848,11
me Schröder,AMZ1848,1848,5
